Quesion,Predicted Answer,Actual Answer,f1 score,Precision,Recall
Which program does Suellen reference that shares its name with a snake?,"But I'm sure it can make for quick test development&gt; dislike because of the magicnessyeah, I hate python, where is my `malloc()` ,stuck_out_tongue,Not really the same thingIn this case I'm talking about decorators that magically rewrite things to inject arguments^ that's my biggest concern, too.why magically?",Python,0.0,0.0,0.0
Which person is talking to the Chief Justice?,"Chief Justice, and may it please the Court, Much of the work of public employees is performed by speaking or writing, and much of that work concerns matters of public interest.",Mr. Kneedler,0.0,0.0,0.0
What is the name of the most important center of learning of Sunni Islam in the country where the pope is going to celebrate a mass tomorrow ?,It's the most important center of learning of Sunni Islam.,Al-Azhar University,0.0,0.0,0.0
Who hosts NEWS & NOTES?,"Here at NEWS & NOTES, we have our own 40 acres of the blogosphere, News & Views.",FARAI CHIDEYA,0.0,0.0,0.0
Which feature in DrRacket inserts an epsilon?,Using \epsilon in DrRacket inserts an epsilon as expected.,\epsilon,0.18181818181818182,0.1,1.0
What is the name of the clinical psychologist with the Psychological Group of Washington?,"Still with us here in the Studio 3A is Katherine Marshall Woods, who's a clinical psychologist with the Psychological Group of Washington.",Katherine Marshall Woods,0.21428571428571425,0.12,1.0
what was the name of the case?,"He would be deciding an issue that normally would be submitted to the jury.It's not our position, Your Honor, that -- that the trial court can make credibility determinations, but --But the example that Justice Kennedy gave you was such a determination.I -- I think, though -- I -- I suppose that would depend on the nature of the specific evidence at issue.",baby-shaking case,0.0,0.0,0.0
Who is the Chief Justice of  United States ?,This was a case decided by this Court in 1944.,CHIEF JUSTICE ROBERTS,0.0,0.0,0.0
What proportion of African American jurors were struck?,There we have 10 of 11 African American jurors struck.,10 of 11,0.42857142857142855,0.2727272727272727,1.0
Which NPR reporter was traveling in South Carolina?,"Don, I have to cut you off to go to a break, but I want to thank NPR's Don Gonyea traveling in South Carolina.",Don Gonyea,0.13333333333333333,0.07142857142857142,1.0
Who is the only person that needs Denis O'Connell to sign a bilateral NDA?,"As provided in my first set
of comments, the maximum term that I have authority to approve is 2 years for
a bilateral NDA.",Leslie.Hansen,0.0,0.0,0.0
In which industry lynda need the survey about developers?,"Thanks for your help.Hi everyone, I’m a UX design student working on a developers’ career advice project and I would really appreciate if you could take 1 minute and help me participate in this survey about developers in tech industry.",tech industry,0.0851063829787234,0.044444444444444446,1.0
What is the name of the petitioner in the case?,"It is then appealable either to a zoning board of adjustment -- that's the -- the model act -- or in California, States -- localities have the option of having the appeal go to the local legislature.",Mr. Lamken,0.0,0.0,0.0
"Which act has a piece missing from it, according to the Circuit court?","And just to respond to something that was said about the Federal Whistle-blower Protection Act, that statute has a gaping hole in it, as construed by the Federal Circuit, because the Federal Circuit has construed it to exclude protection for speech that is part of the employee's normal duties.",Federal Whistle-blower Protection Act,0.13793103448275862,0.07407407407407407,1.0
Which restatement section was based on injured party?,"The restatement section, section three- -- or the restatement section 324 says reliance is from the other for the injured party.",Section 324,0.08,0.043478260869565216,0.5
How many months of unpaid leave does anyone with a permanent position have in Sweden ?,"It's quite a risk to start all over, no income whatsoever at the beginning.Her story isn't unusual in Sweden, where anyone with a permanent position has a legal right to take unpaid leave for six months to launch a company, providing it doesn't compete with their usual employer.To find out more, I braved the snow and made a visit to Samuel Engblom at the Swedish Confederation for Professional Employees, which represents white-collar workers.",six,0.024096385542168676,0.012195121951219513,1.0
What is the name of the amendment that requires reliability in the determination that death is an appropriate sentence ?,"To pick up on some of the things that were said during Attorney General Kline's argument, the Eighth Amendment requires reliability in the determination that death is an appropriate sentence.",Eighth Amendment,0.1142857142857143,0.06060606060606061,1.0
Which month does Kate think the price of $292.50 possibly sounds right for?,"But he
said a price like $292.50 doesn't sound right for Sept. - possibly May?This is what amerex is showing and this is what I have confirmed.This is what amerex is showing and this is what I have confirmed.Yep - the trade's there all right.",May,0.038461538461538464,0.0196078431372549,1.0
In which case Judge Weis gave his opinion ?,"But, Your Honor, respectfully, we now know, because they've all written Law Review articles, that the people that wrote the House report, because they've said it, wrote those law -- wrote those words because they knew that the language did overrule Zahn and they didn't want to achieve that outcome.I think -- I think you're overstating what they say in the article.Well, Your Honor, respectfully, what we do have is undisputed fact here because if you see Judge Weis' conclusion, for example, Judge Weis is one of the people who has adopted one of the opinions opposing our view of -- of this position.He was the chair of the --He was.",Meritcare v. St. Paul,0.0,0.0,0.0
Which company is giving the official confirmation letter for not to use their representative name?,"Paul S. Rosica
Lehman Brothers
212-526-8887 Phone
212-526-2755 Fax
917-822-9797 Cell
<email>

This message is intended only for the personal and confidential use of the
designated recipient(s) named above.",Lehman Brothers Inc,0.10526315789473684,0.05714285714285714,0.6666666666666666
Jason Rezaian wrote stories for which paper?,So the Iranian power structure is broken up into different parts.,the Washington Post,0.13333333333333333,0.08333333333333333,0.3333333333333333
Where does Deeanna want to move 'blueprints' into?,"It doesn't work when I deploy the package because the location of `blueprints` is outside of the package's installation path so I get this error after I install the package,

 <code_snippet> 

If I move blueprints inside `koyo-lib`, then that causes problems as well because `blueprints` contains racket code (and koyo-lib is declared as a multi-collection package (though I could change it to a single collection package, but I'm not sure that would help)).So what I would like to do is move `blueprints` into `koyo-lib` but somehow tell `raco pkg` that it should ignore the `blueprints` folder when `koyo-lib` is installed.I have read about the `source-omit-files` configuration value but I don't think that'll do what I want.",`koyo-lib`,0.0392156862745098,0.02,1.0
What time is the OU-Enron game ?,We play the other Enron team.,700,0.0,0.0,0.0
"What type of spy would have rights under regulations for handling secret contracts , Justice Clemmler says ?","Alleged spies would have rights under those regulations, and the very idea of walking into court and asserting your rights as an alleged spy is inconsistent with the entire relationship and the contract that gave rise to it.",were a party to a secret contract or at least a secret relationship,0.11320754716981132,0.075,0.23076923076923078
Which types of networks are involved?,"There are some other things, too, involving a spreading-activation network and a network by which nodes support the continued existence of other nodes.So, tagswhat’s a `tag?` value?Each node has a bunch of attributes, just an arbitrary hash table.",a spreading-activation network and a network by which nodes support the continued existence of other nodes,0.45454545454545453,0.3,0.9375
Transactions will be between which two entities?,Transactions will be between company offering product and customer; Enron does not stand in middle for credit.,company offering product and customer,0.4166666666666667,0.2631578947368421,1.0
What program allows the user to parallelize the tests and is recommended by Karoline?,"basically they allow you to paralelize your testsOkayWill definitely look into thoseThanks <@Eliana> <@Karoline> ,taco,Having a simple issue.",pytest-parallel,0.0,0.0,0.0
What does the Court say imposes restrictions on the discretion of police?,"And we believe the Fourth Amendment does impose -- the Fourth Amendment itself imposes restrictions on the discretion of police officers and parole officers that are meaningful, that -- as the Reyes Court said, there are restrictions on the timing, the frequency, the duration, and the oppressiveness of the search.","restrictions on the timing, the frequency, the duration, and the oppressiveness of the search",0.4657534246575342,0.30357142857142855,1.0
Who is restrained in the circumstances of the trial?,"Again, it -- it depends upon the circumstances, but if they're not visible to the jury, the defendant has a difficult time --Well, the circumstances that you were given was a traffic offender.A traffic offender who is restrained where it's not visible --With -- with non-visible restraints.",Mr. Deck,0.0,0.0,0.0
What kind of action is referenced by Scalia when the prosecutor has died?,"The prosecutor is dead.That's about four questions, Your Honor.",habeas action,0.0,0.0,0.0
Why will the process be legthier?,That process is now underway.,the legal due-diligence,0.0,0.0,0.0
who is the first speaker?,"I'm worried, however, about the fact that this statute doesn't just cover the initial IEP.",MR. HURD,0.0,0.0,0.0
Which country has the new plane stuck?,"But as we sit here today, Norwegian Air's plane is still in Iran.",Iran.,0.2222222222222222,0.125,1.0
Which names have Julia been experimenting more with capitalizing?,")This reminds me, lately I've been experimenting more with capitalizing struct names.",struct names,0.2222222222222222,0.125,1.0
What is the name of the casting director for the film Wendy Raquel Robinsondo worked on?,"I knew Robi Reed who was also the casting director, and (unintelligible) who was actually working on it.",Robi Reed,0.16666666666666669,0.09090909090909091,1.0
Which person is Neal hosting on the show?,I'm Neal Conan in Washington.,Naomi Oreskes,0.0,0.0,0.0
