Context,top_n_sentences,dist_function,Chunk_size,Overlap_percentage,Quesion,Predicted Answer,Actual Answer,f1 score,Precision,Recall
"Woodson and its accompanying Woodson Lake and Wood Hollow are the namesake for Ed Wood Sr., a prominent plantation owner, trader, and businessman at the turn of the 20th century.",1,cosine,200,0.1,Were Scott Derrickson and Ed Wood of the same nationality?,answer american,ye,0,0,0
"The film was released on November 25, 1949, by United Artists.Kiss and Tell is a 1945 American comedy film starring then 17-year-old Shirley Temple as Corliss Archer.",1,cosine,200,0.1,What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?,woman portray corliss archer film kiss tell secretari state constitut affair,chief protocol,0,0,0
"She's also published two non-fiction books through Cotton Wood Press; called ""Seize the Story: A Handbook For Teens Who Like To Write"", and ""Wild Ink: A Grownups Guide To Writing Fiction For Teens"".The Hork-Bajir Chronicles is the second companion book to the ""Animorphs"" series, written by K. A. Applegate.",1,cosine,200,0.1,"What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?",hork-bajir chronicl,animorph,0,0,0
"It sits next to the Hagia Sophia, another popular tourist site.The Laleli Mosque (Turkish: ""Laleli Camii, or Tulip Mosque"" ) is an 18th-century Ottoman imperial mosque located in Laleli, Fatih, Istanbul, Turkey.The Esma Sultan Mansion (Turkish: ""Esma Sultan Yalısı"" ), a historical yalı (English: waterside mansion ) located at Bosphorus in Ortaköy neighborhood of Istanbul, Turkey and named after its original owner Esma Sultan, is used today as a cultural center after being redeveloped.Esma Sultan is the name of three daughters of three Ottoman Sultans:Gevheri Kadın (8 July 1856 �?6 September 1884) was the fifth wife of 32nd Ottoman Sultan Abdülaziz.",1,cosine,200,0.1,Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,ye,,0,0,0
"After numerous delays, the film released on 10 July 2015.Big Stone Gap is a 2014 American drama romantic comedy film written and directed by Adriana Trigiani and produced by Donna Gigliotti for Altar Identity Studios, a subsidiary of Media Society.",1,cosine,200,0.1,"The director of the romantic comedy ""Big Stone Gap"" is based in what New York city?",director romant comedi `` big stone gap '' base manhattan,greenwich villag new york citi,0,0,0
He is one of the first four Korean artists to appear on Chinese postage stamps.2014 S/S is the debut album of South Korean group WINNER.,1,cosine,200,0.1,2014 S/S is the debut album of a South Korean boy group that was formed by who?,answer question yg entertain,yg entertain,0.666666667,0.5,1
"For twenty-six years she worked with Unilever, and since 1994 she has been a marketing consultant with Makki Makki.Eenasul Fateh (Bengali: ঈনাসুল ফাতে�?; born 3 April 1959), also known by his stage name Aladin, is a Bangladeshi-British cultural practitioner, magician, live artist and former international management consultant.Mick Batyske (known by his stage name Mick, sometimes styled as MICK, and formerly Mick Boogie) is an American DJ and entrepreneur.",1,cosine,200,0.1,Who was known by his stage name Aladin and helped organizations improve their performance as a consultant?,criss angel,eenasul fateh,0,0,0
"They previously played their home games in the Metrapark which had a max capacity of 9,000 for hockey games.",1,cosine,200,0.1,The arena where the Lewiston Maineiacs played their home games can seat how many people?,1400,"3,677 seat",0,0,0
"Annie Morton (born October 8, 1970) is an American model born in Pennsylvania.",1,cosine,200,0.1,"Who is older, Annie Morton or Terry Richardson?",answer terri,terri richardson,0.5,0.5,0.5
"The name of the town is pronounced without the ""h"" (""AM-erst""), giving rise to the local saying, ""only the 'h' is silent"", in reference both to the pronunciation and to the town's politically active populace.Local H is an American rock band originally formed by guitarist and vocalist Scott Lucas, bassist Matt Garcia, drummer Joe Daniels, and lead guitarist John Sparkman in Zion, Illinois in 1987.",1,cosine,200,0.1,Are Local H and For Against both from the United States?,ye,ye,1,1,1
"It was named after the iconic Kansas City Scout Statue that exists in Penn Valley Park, overlooking Downtown Kansas City.Kansas Song (We’re From Kansas) is a fight song of the University of Kansas.Downtown Kansas City is the central business district (CBD) of Kansas City, Missouri and the Kansas City metropolitan area.",1,cosine,200,0.1,"What is the name of the fight song of the university whose main campus is in Lawrence, Kansas and whose branch campuses are in the Kansas City metropolitan area?",answer �?kansa,kansa song,0.4,0.333333333,0.5
"The film stars Michael Biehn, Nicolas Cage, Charlie Sheen, James Coburn, and Peter Fonda.",1,cosine,200,0.1,"What screenwriter with credits for ""Evolution"" co-wrote a film starring Nicolas Cage and Téa Leoni?",david weissman,david weissman,1,1,1
"In addition to films and television, he has appeared in music videos for AC/DC, Bon Jovi, and Guns N' Roses.Guns N' Roses is an American hard rock band formed in Los Angeles, California in 1985 by members of Hollywood Rose and L.A.",1,cosine,200,0.1,What year did Guns N Roses perform a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective?,1987,1999,0,0,0
